ID;Zitat;Person
1;Viel zu lernen du noch hast!;Yoda
2;Warum denn so Ernst?;Der Joker
3;Ich bin der König der Welt!;Jack Dawson
4;Das Leben ist wie eine Schachtel Pralinen, man weiß nie mas man kriegt.;Forrest Gump
5;Yippie Yah Yei Schweinebacke!;John McClane
6;Die erste Regel des Fight Club: Sprecht nicht über den Fight Club!;Edward Norton
7;Ich bin dein Vater!;Darth Vader
8;Housten. Wir haben ein Problem!;Jim Lovell
9;Mein Baby gehört zu mir!;Johnny Castle
10;Am dunkelsten ist die Nacht vor der Dämmerung.;Harvey Dent
11;Das Problem ist nicht das Problem. Das Problem ist deine Einstellung zu dem Problem.;Jake Sparrow
12;Das ist nicht meine Freundin. Ich helfe ihr nur schwanger zu werden.;Jeffrey Lebowski
13;Möge die Macht mit dir sein.;Obi-Wan Kenobi
14;Führ mich zum Schotter.;Jerry Maguire
15;Ich sehe tote Menschen.;Cole Sear
16;Ich komme wieder.;Terminator
17;Bis zur Unendlichkeit und noch viel weiter!;Buzz Lightyear
18;Und so zerbröselt der Keks  nun mal.;Bruce Nolan
19;Redest  du mit mir?;Travis Bickle
20;Paps, du flippst doch jetzt nicht aus, wie neulich im Streichelzoo.;Nemo
21;Viel mehr, als unsere Fähigkeiten sind es unsere Entscheidungen, die Zeigen wer wir wirklich sind.;Albus Dumbledore
22;Wodka Martini - geschüttelt nicht gerührt.;James Bond
23;Hakuna Matata, diesen Spruch sag ich gern!;Timon
;;
;;
;;
;;
;;
;;
