ID;Zitat;Person
1;Yeah Bitch! Magnete!;Jessie Pinkman
2;Alles ist in bester Ordnung - solange ich genug Bier im Kühlschrank habe!;Homer Simpson
3;Ich bin nur ein Körper durch den Genialität fließt.;Homer Simpson
4;Michael Jordan ? Ist das dieser schwarze Golfer ?;John Dorian
5;Von vorehelichem Sex abzuhalten ist gegen meine Religion!;Barney Stinson
6;Ich bin nicht verrückt. Meine Mutter hat mich testen lassen.;Sheldon Cooper
7;Einfach alles beginnt und endet mit Geschichten. ;Ragnar Lodbrok
8;Wir sind Gefangene unserer eigenen Identität.;Theodore Bagwell
9;Der Typ ist ein Einhorn. Der pinkelt Regenbogen.;Doug Stamper
10;Sie ist so zäh wie ein Zwei-Dollar-Steak. An ihr beißt man sich die Zähne aus.;Frank Underwood
11;Mein Job ist es, die Rohre duchzublasen, damit die Scheiße abfließen kann.;Frank Underwood
12;Physiker, Bäcker, Liebhaber, was ich nicht alles kann!;Sheldon Cooper
13;Zu meiner Zeit hatte man mit Mitte fünfzig einen ordentlichen Herzinfarkt. Und wir haben ihn zu schätzen gewusst!;Arthur Spooner
14;Bei seinen Noten kann er sich schon mal daran gewöhnen Einkaufswagen zu schieben.;Charlie Harper
15;Haben Sie Stuhlgang oder liegen Sie in den Wehen?;Gregory House
16;Schade, ich mache Frauen nicht so gerne zu Witwen.;Dexter Morgan
17;Wir sind fertig, wenn ich sage, dass wir fertig sind!;Walter White
18;Ein Hengst wie ich kommt nur einmal im Jahr.;Al Bundy
19;Für Manche ist der BH halb leer, doch für mich ist er halb voll.;Barney Stinson
20;Peinlichkeitsregel Nr.1: Es ist nur peinlich, wenn wir Peinlichkeit zulassen.;Marshall Erikson
21;Ulf ist wie Hulk, nur dass er unter Stress nicht grün wird, sondern doof.;Bernd Stromberg
